section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,1,1706548527982841155,1706548528318218155,335,1507.861,633.355,45.661599643976004,-1.3181304597675674
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,2,1706548528518345155,1706548528663469155,145,1293.786,696.108,31.641985501982635,-5.261512937201672
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,3,1706548528768594155,1706548528923720155,155,658.58,640.359,-9.730079298949189,-1.921113700759521
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,4,1706548529284096155,1706548529544347155,260,376.551,631.55,-27.931381082799184,-1.293615320990067
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,5,1706548529599350155,1706548529994723155,395,429.933,789.544,-24.803819913385965,-11.237529814895767
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,6,1706548530044723155,1706548530465100155,420,496.831,691.614,-20.24634811366436,-5.1454446631797195
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,7,1706548530640350155,1706548530760476155,120,1018.304,777.966,13.876904423439674,-10.785191827538378
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,8,1706548530960601155,1706548531801354155,840,1267.897,760.436,30.142692368786783,-9.274930921593286
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,9,1706548531841480155,1706548532116737155,275,1337.887,792.641,34.88013137211324,-11.096111347852469
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,10,1706548532697232155,1706548532812358155,115,356.851,816.64,-29.680833194508242,-12.7521393578635
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,11,1706548532837358155,1706548534058487155,1221,418.784,783.681,-25.508596436359444,-10.847323767370888
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,12,1706548534428864155,1706548534513864155,85,1316.115,703.067,33.11122662124912,-5.662334022631564
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,13,1706548534633989155,1706548536235495155,1601,1247.095,715.331,28.653084390170644,-6.509782616282791
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,14,1706548536320620155,1706548536430745155,110,688.369,575.92,-7.79217672040705,2.2677332512039534
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,15,1706548536720997155,1706548536831125155,110,427.503,687.754,-24.711310833970856,-4.841589670011606
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,16,1706548536871122155,1706548538272377155,1401,460.049,753.731,-22.74093533698994,-9.03862067520186
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,17,1706548538652753155,1706548538832879155,180,1329.329,749.085,34.11936156633527,-8.458126261999238
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,18,1706548538858004155,1706548539063130155,205,1299.353,768.398,32.23154803556518,-9.702324314309994
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,19,1706548539088130155,1706548540219259155,1131,1322.801,731.906,33.63054681367208,-7.419391945476842
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,20,1706548540259259155,1706548540349384155,90,751.147,569.123,-3.6985874064927473,2.7183281911266177
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,21,1706548540584510155,1706548540814761155,230,361.171,743.658,-29.112307052791618,-8.245190976469049
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,22,1706548540829761155,1706548542401267155,1571,443.602,720.555,-23.730118622690174,-6.923251197186688
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,23,1706548542736518155,1706548544127898155,1391,1287.938,709.007,31.29150282362229,-6.064134628974958
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,24,1706548544488149155,1706548544743403155,255,435.872,733.465,-24.257203690859008,-7.725722150364305
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,25,1706548544923650155,1706548545038651155,115,1186.595,814.675,25.03223702224733,-12.829316190045072
314b6274-7746-40e9-8d39-cbc46ab16dc9,9d2fe463-2d08-476c-9ba8-57d06914e18b,26,1706548545133776155,1706548545359027155,225,837.009,858.543,1.9601292606684975,-16.136768087291323
